14, 521, 1400, 879, 483, 24, BC, 60, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_20297_60_gnrtd_1718028490.pdf
9, 109, 200, 82, 100, 9, BC, 635, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_26118_635_gnrtd_1718029476.pdf
3, 332, 900, 568, 298, 31, BC, 304, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_21855_304_gnrtd_1718014768.pdf
4, 415, 900, 481, 360, 55, BC, 483, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_23948_483_gnrtd_1718011625.pdf
1, 372, 900, 530, 345, 24, BC, 358, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_22781_358_gnrtd_1718014881.pdf
3, 450, 1100, 650, 390, 57, BC, 275, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_21506_275_gnrtd_1718009018.pdf
2, 424, 900, 476, 371, 51, BC, 257, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_21454_257_gnrtd_1718004513.pdf
1, 185, 400, 215, 168, 16, BC, 405, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_23127_405_gnrtd_1717997220.pdf
1, 500, 1000, 500, 481, 18, BC, 612, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bc_25825_612_gnrtd_1718034296.pdf
2, 360, 630, 270, 282, 76, BH, 407, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_29573_407_gnrtd_1718028954.pdf
11, 217, 288, 60, 203, 14, BH, 470, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_30274_470_gnrtd_1718009857.pdf
1, 582, 1330, 748, 554, 27, BH, 619, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31654_619_gnrtd_1718013729.pdf
9, 493, 1013, 520, 446, 38, BH, 164, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26877_164_gnrtd_1718056191.pdf
