1, 146, 141, 5, 214, 67, AB, 283, PCJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_pcj_sv_ab_4981_283_gnrtd_1718096274.pdf
2, 540, 498, 41, 1150, 609, AB, 57, PCJ, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_pcj_sv_ab_1213_57_gnrtd_1718128890.pdf
20, 613, 582, 11, 960, 347, AG, 342, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_342_p_t_20240610_080203.pdf
1, 525, 504, 20, 748, 223, AG, 338, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_338_p_t_20240610_100049.pdf
396, 788, 766, 9, 1496, 325, AG, 357, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_357_p_t_20240610_070841.pdf
1, 596, 577, 18, 1700, 1104, AG, 65, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_65_p_t_20240610_083037.pdf
1, 647, 584, 17, 926, 324, AG, 194, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_194_p_t_20240610_101742.pdf
8, 1012, 987, 25, 1840, 820, AG, 136, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_136_p_t_20240610_134531.pdf
2, 442, 410, 26, 673, 235, AG, 212, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_212_p_t_20240610_033731.pdf
9, 527, 518, 9, 1600, 1064, AG, 106, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_106_p_t_20240610_055729.pdf
10, 829, 778, 41, 1120, 291, AG, 513, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_513_p_t_20240610_091414.pdf
9, 551, 544, 7, 1100, 540, AG, 333, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_333_p_t_20240610_073859.pdf
